SPPARKS (19 Nov 2013 -- potts-ori branch)
seed 621398049
app_style	 potts/ori 1
dimension	 2
lattice		 sq/8n 1.0
read_dream3d	 filename initial.dream3d load_ori
create_sites boxCreating sites ...
  1048576 sites
  1048576 sites have 8 neighbors
  1048576 values

set_mobility	 binary theta_max 50 min_mobility 0.001
precompute    	 mobility

solve_style      tree
sector		 no

temperature	 0.9

stats            2000.0
diag_style	 grainsize filename stats.h5

dump txtfile text 500000 AGG_Sites.*.txt x y z 

dump		 1 dream3d 5000 agg_dump*.dream3d id site version 6.0 dataset SyntheticVolume
dump_modify	 1 pad 6

run              500000.0
Setting up run ...
      Time    Naccept    Nreject    Nsweeps        CPU    Ngrains
    352000   20958993          0          0   1.18e+03       1094
    354000   21048375          0          0   1.18e+03       1093
    356000   21139826          0          0   1.18e+03       1087
    358000   21229722          0          0   1.18e+03       1086
    360000   21320146          0          0   1.19e+03       1084
    362000   21410446          0          0   1.19e+03       1081
    364000   21499674          0          0   1.19e+03       1079
    366000   21587555          0          0   1.19e+03       1075
    368000   21675560          0          0   1.19e+03       1071
    370000   21764447          0          0   1.19e+03       1068
    372000   21855643          0          0   1.19e+03       1068
    374000   21948451          0          0   1.19e+03       1066
    376000   22041369          0          0   1.24e+03       1064
    378000   22133048          0          0   1.25e+03       1060
    380000   22226854          0          0   1.31e+03       1059
    382000   22321354          0          0   1.32e+03       1058
    384000   22414964          0          0   1.32e+03       1056
    386000   22507552          0          0   1.34e+03       1055
    388000   22600311          0          0   1.34e+03       1054
    390000   22692230          0          0   1.34e+03       1053
    392000   22784354          0          0   1.34e+03       1051
    394000   22876344          0          0   1.34e+03       1045
    396000   22967869          0          0   1.35e+03       1044
    398000   23058222          0          0   1.36e+03       1040
    400000   23147012          0          0   1.36e+03       1038
    402000   23236823          0          0   1.36e+03       1038
    404000   23326813          0          0   1.36e+03       1035
    406000   23415138          0          0   1.37e+03       1034
    408000   23504200          0          0   1.37e+03       1032
    410000   23594336          0          0   1.37e+03       1030
    412000   23683333          0          0   1.37e+03       1029
    414000   23772269          0          0   1.37e+03       1029
    416000   23861372          0          0   1.38e+03       1027
    418000   23949806          0          0   1.38e+03       1026
    420000   24038501          0          0   1.39e+03       1023
    422000   24128664          0          0   1.39e+03       1019
    424000   24219048          0          0   1.39e+03       1016
    426000   24310023          0          0   1.44e+03       1015
    428000   24400192          0          0   1.47e+03       1013
    430000   24491924          0          0   1.49e+03       1012
    432000   24584054          0          0    1.5e+03       1007
    434000   24676648          0          0    1.5e+03       1007
    436000   24768143          0          0   1.53e+03       1004
    438000   24859855          0          0   1.54e+03       1003
    440000   24949119          0          0   1.54e+03       1001
    442000   25037672          0          0   1.55e+03        998
    444000   25127690          0          0   1.55e+03        997
    446000   25216373          0          0   1.55e+03        995
    448000   25304870          0          0   1.55e+03        993
    450000   25392543          0          0   1.56e+03        990
    452000   25479086          0          0   1.56e+03        990
    454000   25565971          0          0   1.56e+03        988
    456000   25653896          0          0   1.57e+03        988
    458000   25741274          0          0   1.58e+03        986
